station_name,latitude,longitude,aqi
Avidipta Housing Complex                ,22.493217,88.39831,82.65285892288523
"Ballygunge Campus, C.U                ",22.526701,88.36321,111.57003115716252
Bethune College                         ,22.58851,88.367807,93.36803889379972
Dhapa Lock Pumping Station              ,22.558027,88.40998,99.92553895960562
"East Calcutta Girls College, Lake Town",22.601583,88.404556,92.67141957907988
Flora Fountain                          ,22.548628,88.382256,96.49776984834969
Fortis Hospital                         ,22.52067,88.401204,76.74045341568126
Lady Brabourne College                  ,22.5451541,88.3673286,96.40866198099701
Leather Complex                         ,22.4953,88.509293,86.26928231302216
Lorreto College                         ,22.549372,88.35171,97.15283965670872
Madhyamgram Municipality                ,22.692911,88.46523,101.96682074336732
Maulana Azad Collage                    ,22.560925,88.358155,80.7495010490763
Presidency University                   ,22.5763855,88.3610445,97.20649103414395
Sarojini Naidu College for Women        ,22.626505,88.41833,92.93772552999549
Sarsuna College                         ,22.48127,88.284554,81.11668855358722
Urbana Housing Complex                  ,22.511385,88.412384,81.87049120131063
"VIVEKANANDA COLLEGE FOR WOMEN, BARISHA",22.4885267,88.3141944,78.87500991984763
