station_id,station_name,count,mean,median,min,max,std
WB002,"Ballygunge Campus, C.U                ",27602,111.57,86.0,2,457,72.61
WB011,Madhyamgram Municipality,31586,101.97,82.0,7,419,68.52
WB004,Dhapa Lock Pumping Station,27182,99.93,80.0,2,524,63.11
WB013,Presidency University,32568,97.21,71.0,5,420,74.64
WB010,Lorreto College,21323,97.15,78.0,15,459,64.26
WB006,Flora Fountain,34751,96.5,85.0,2,468,60.14
WB008,Lady Brabourne College,30732,96.41,73.0,6,406,67.85
WB003,Bethune College,15838,93.37,71.0,20,387,64.41
WB014,Sarojini Naidu College for Women,35472,92.94,76.0,2,697,64.37
WB005,"East Calcutta Girls College, Lake Town",36539,92.67,74.0,4,541,61.99
WB009,Leather Complex,35071,86.27,72.0,2,694,59.82
WB001,Avidipta Housing Complex,36115,82.65,63.0,1,533,68.28
WB016,Urbana Housing Complex,35403,81.87,71.0,1,498,51.94
WB015,Sarsuna College,37313,81.12,67.0,1,531,59.93
WB012,Maulana Azad Collage,19541,80.75,67.0,12,406,50.01
WB017,"VIVEKANANDA COLLEGE FOR WOMEN, BARISHA",37803,78.88,64.0,1,409,56.58
WB007,Fortis Hospital,13277,76.74,58.0,18,413,54.25
